university_name,category,business_name,review_count,stars,longitude,latitude,url,image_url
Brown University,American,Cafe Nuovo,24,4,-71.411068,41.827379,http://www.yelp.com/biz/cafe-nuovo-providence,http://s3-media1.px.yelpcdn.com/bphoto/Wjdah17QHnd8vQkZlmzobw/ms.jpg
Brown University,American,New Rivers-American Bistro,40,4,-71.40950012,41.82720184,http://www.yelp.com/biz/new-rivers-american-bistro-providence,http://s3-media1.px.yelpcdn.com/bphoto/Ws50pkRAjWLxIqI3V_-hIA/ms.jpg
Brown University,American,Federal Reserve,2,3,-71.411222,41.823771,http://www.yelp.com/biz/federal-reserve-providence,http://media1.px.yelpcdn.com/static/201012163223336441/img/gfx/blank_biz_medium.gif
Brown University,American,Union Station Brewery Providence,54,3,-71.41159821,41.82600021,http://www.yelp.com/biz/union-station-brewery-providence-providence,http://s3-media4.px.yelpcdn.com/bphoto/d05drHvs6wJQm8-j825lag/ms.jpg
Brown University,American,Parkside Rotisserie & Bar,21,3.5,-71.40679932,41.82400131,http://www.yelp.com/biz/parkside-rotisserie-and-bar-providence,http://s3-media3.px.yelpcdn.com/bphoto/qGYYndY6heE8v32qpa0PoA/ms.jpg
Brown University,American,Johnny Rockets,21,3,-71.4006,41.829104,http://www.yelp.com/biz/johnny-rockets-providence-2,http://s3-media2.px.yelpcdn.com/bphoto/QpO_Hwbvwed0d4kTWr_Fkg/ms.jpg
Brown University,American,Rue De L'espoir Creative American Cooking,34,3,-71.39636,41.822019,http://www.yelp.com/biz/rue-de-l-espoir-creative-american-cooking-providence,http://s3-media3.px.yelpcdn.com/bphoto/-Ayt_FA9ydBrlp62Bqx6iA/ms.jpg
Brown University,American,Paragon,77,3.5,-71.40049744,41.82789993,http://www.yelp.com/biz/paragon-providence,http://s3-media4.px.yelpcdn.com/bphoto/8r2l9AXr8MaLXOfIPGAucg/ms.jpg
Brown University,American,Everyman,18,3,-71.4128343,41.8239891,http://www.yelp.com/biz/everyman-providence,http://media1.px.yelpcdn.com/static/201012163223336441/img/gfx/blank_biz_medium.gif
Brown University,American,Olives,9,2.5,-71.40920258,41.8280983,http://www.yelp.com/biz/olives-providence,http://media1.px.yelpcdn.com/static/201012163223336441/img/gfx/blank_biz_medium.gif
Brown University,Asian,Jacky's Waterplace,5,4.5,-71.4127984,41.8274018,http://www.yelp.com/biz/jackys-waterplace-providence,http://s3-media3.px.yelpcdn.com/bphoto/hYfQGdAl2-fh4qnvTQsN3w/ms.jpg
Brown University,Asian,Shark,33,2,-71.4008001,41.8295146,http://www.yelp.com/biz/shark-providence,http://s3-media2.px.yelpcdn.com/bphoto/SqFQ1h6VPYKfHWynaSxBlw/ms.jpg
Brown University,Asian,Chinese Laundry,7,2.5,-71.406663,41.824002,http://www.yelp.com/biz/chinese-laundry-providence,http://s3-media2.px.yelpcdn.com/bphoto/3nRVRuciDTiGkJucy1YtPA/ms.jpg
Brown University,Asian,Asian Bistro,8,2.5,-71.410016,41.822204,http://www.yelp.com/biz/asian-bistro-providence,http://media1.px.yelpcdn.com/static/201012163223336441/img/gfx/blank_biz_medium.gif
Brown University,American,3 Steeple Street Bistro & Bar,17,3.5,-71.409769,41.827329,http://www.yelp.com/biz/3-steeple-street-bistro-and-bar-providence,http://s3-media1.px.yelpcdn.com/bphoto/VT20yA0Zyh0vHpaLy8DC7Q/ms.jpg
Brown University,American,Downcity,57,3.5,-71.409547,41.824102,http://www.yelp.com/biz/downcity-providence,http://s3-media1.px.yelpcdn.com/bphoto/6NnbQeE0zfhXcoxQKFZHPg/ms.jpg
Brown University,American,McFadden's,22,2.5,-71.409499,41.822996,http://www.yelp.com/biz/mcfaddens-providence,http://s3-media1.px.yelpcdn.com/bphoto/mfXFCKelafvUGtHLDmoIUQ/ms.jpg
Brown University,American,Z-Bar,31,3.5,-71.39839935,41.81940079,http://www.yelp.com/biz/z-bar-providence,http://s3-media4.px.yelpcdn.com/bphoto/I4SKpVPipBFautdIJ27QWg/ms.jpg
Brown University,American,SideBar & Grill,8,3,-71.409998,41.822215,http://www.yelp.com/biz/sidebar-and-grill-providence,http://s3-media2.px.yelpcdn.com/bphoto/oiYcvP15mgvXmyuGitRqZg/ms.jpg
Brown University,Mediterranean,Providence Byblos,35,3.5,-71.4004604,41.8291737,http://www.yelp.com/biz/providence-byblos-providence,http://s3-media3.px.yelpcdn.com/bphoto/EMqr6jf3V6RcaN2mADpLoQ/ms.jpg
Brown University,Mediterranean,Kartabar,39,3.5,-71.401008,41.829596,http://www.yelp.com/biz/kartabar-providence,http://s3-media2.px.yelpcdn.com/bphoto/47yHexZC6XPIpO7MeSE74Q/ms.jpg
Brown University,Mediterranean,Bacaro,39,4,-71.405134,41.82155,http://www.yelp.com/biz/bacaro-providence,http://s3-media4.px.yelpcdn.com/bphoto/riVbvAR1z0f7wnAS8quQzA/ms.jpg
Brown University,American,Amy's Place,25,3.5,-71.399006,41.819573,http://www.yelp.com/biz/amys-place-providence,http://s3-media3.px.yelpcdn.com/bphoto/W82DUcvapUyScDEq6Z1AOg/ms.jpg
Brown University,Uncategorized,Louis Restaurant,58,3.5,-71.399079,41.824692,http://www.yelp.com/biz/louis-restaurant-providence,http://s3-media2.px.yelpcdn.com/bphoto/fJnGZhxueQXzykQplJOyYA/ms.jpg
Brown University,Uncategorized,Brickway On Wickenden,66,3.5,-71.3986969,41.81930161,http://www.yelp.com/biz/brickway-on-wickenden-providence,http://s3-media1.px.yelpcdn.com/bphoto/byNVc_2Tutj9fwTlNY82NA/ms.jpg
Brown University,European,English Cellar Alehouse,27,3,-71.401182,41.827912,http://www.yelp.com/biz/english-cellar-alehouse-providence,http://s3-media2.px.yelpcdn.com/bphoto/xsSBBJNzDcOp87FBg_fKXA/ms.jpg
Brown University,American,Harry's Bar and Burger,61,3.5,-71.409293,41.828261,http://www.yelp.com/biz/harrys-bar-and-burger-providence,http://s3-media4.px.yelpcdn.com/bphoto/iuJB3I6NL5SXqxd2stUBSA/ms.jpg
Brown University,American,Better Burger Company,27,2.5,-71.400317,41.827514,http://www.yelp.com/biz/better-burger-company-providence,http://s3-media2.px.yelpcdn.com/bphoto/f-scUCZ11cpXlX_ceEXWcw/ms.jpg
Brown University,American,Wings & Things,12,3.5,-71.399098,41.823516,http://www.yelp.com/biz/wings-and-things-providence,http://s3-media3.px.yelpcdn.com/bphoto/CSpGpGJ7TiORmNa-xnYfZg/ms.jpg
Brown University,Asian,Angkor Restaurant Express,3,3,-71.411408,41.822984,http://www.yelp.com/biz/angkor-restaurant-express-providence,http://s3-media4.px.yelpcdn.com/bphoto/vyqToHqfWYXYcThlq7T0LQ/ms.jpg
Brown University,Asian,Asian Paradise Restaurant,3,3.5,-71.401193,41.827781,http://www.yelp.com/biz/asian-paradise-restaurant-providence,http://media1.px.yelpcdn.com/static/201012163223336441/img/gfx/blank_biz_medium.gif
